eventnumber,filenumber,event,pname,eventlabel,Brightness,Difficulty,TSide,TFeature,DFeature,ymaxframe,RT,ButtonRT,abvelthreshold,Vmax5percent,VthresholdGC,Vmax,VmaxMT,stoptime,mainreach,initreach,pathlengthnorm,pathlengthmm,movetime,deceltime,normlength,AUC,maxaperture,maxaptime,stopX,stopY
1,1,1,p01f20,Datafile processing p01f20 Block 1 event 1,Bri,Esy,Rgt,Narr,Wide,84,0.4,473,49,41,39,10.534644023193,60,84,Correct,Correct,1.02092593932687,297.442150333941,0.45,0.24,1.02092593932687,-0.0432784917284493,96.4523223094216,0.6,166.043583607546,244.335457433524
2,1,2,p01f20,Datafile processing p01f20 Block 1 event 2,Bri,Esy,Lft,Wide,Narr,73,0.36,435,45,37,35,14.0108034359505,57,73,Incorrect,Incorrect,1.00833260839989,292.723841933475,0.38,0.16,1.00833260839989,-0.0164248011665747,93.5782689031771,0.0789473684210526,172.229892336281,235.642126378356
3,1,3,p01f20,Datafile processing p01f20 Block 1 event 3,Bri,Hrd,Rgt,Wide,Wide,66,0.27,345,37,31,29,11.093487520146,50,65,Incorrect,Incorrect,1.0091835511217,245.205669729756,0.36,0.15,1.0091835511217,-0.0205187017812152,101.001011362581,0.611111111111111,-105.830882455882,219.755308363554
4,1,4,p01f20,Datafile processing p01f20 Block 1 event 4,Bri,Hrd,Lft,Wide,Narr,98,0.37,588,63,54,55,10.7767502353611,75,97,Correct,Correct,1.00252100969399,259.741503593445,0.42,0.22,1.00252100969399,0.00189455114016823,104.063601793252,0.928571428571429,-108.00008666209,234.811301464286
5,1,5,p01f20,Datafile processing p01f20 Block 1 event 5,Bri,Esy,Rgt,Wide,Narr,78,0.42,496,51,44,41,17.2810173710668,63,77,Correct,Correct,1.00984903049391,320.747045478149,0.36,0.14,1.00984903049391,-0.0208487391557498,110.77622489994,0.861111111111111,191.643027735447,253.539440630117
6,1,6,p01f20,Datafile processing p01f20 Block 1 event 6,Bri,Hrd,Rgt,Narr,Wide,85,0.46,515,57,47,45,12.7839622602702,69,84,Incorrect,Correct,1.05170887059139,264.699146609632,0.39,0.15,1.05170887059139,0.0411380729311911,106.624471963235,0.897435897435897,-94.764793032936,245.951446470379
7,1,7,p01f20,Datafile processing p01f20 Block 1 event 7,Bri,Esy,Rgt,Wide,Wide,73,0.41,494,48,44,41,17.8248375330243,58,73,Correct,Correct,1.00555813106185,294.502006468906,0.32,0.15,1.00555813106185,-0.00228493235545066,117.630490452488,0.84375,179.069054345943,230.966003895054
8,1,8,p01f20,Datafile processing p01f20 Block 1 event 8,Bri,Esy,Rgt,Narr,Narr,76,0.43,528,51,45,43,15.6783003782621,62,76,Correct,Correct,1.00558912667895,282.106833160519,0.33,0.14,1.00558912667895,-0.00788863837540247,102.508315572451,0.757575757575758,162.969209313503,227.640914803756
9,1,9,p01f20,Datafile processing p01f20 Block 1 event 9,Bri,Hrd,Rgt,Wide,Narr,76,0.3,361,39,35,32,15.0463331382691,45,76,Incorrect,Correct,1.44955265209928,241.938146631995,0.44,0.31,1.44955265209928,0.277820571125265,118.438765011688,0.545454545454545,-104.076985703153,217.636679363616
10,1,10,p01f20,Datafile processing p01f20 Block 1 event 10,Bri,Esy,Lft,Narr,Narr,80,0.42,491,52,47,44,12.0358579551337,63,79,Correct,Incorrect,1.01808074553324,260.418267480005,0.35,0.16,1.01808074553324,-0.044969962270571,98.0428391666325,0.428571428571429,-106.142499289429,235.475212349816
11,1,11,p01f20,Datafile processing p01f20 Block 1 event 11,Bri,Esy,Lft,Narr,Wide,69,0.3,396,39,34,30,11.7547186283605,51,68,Correct,Incorrect,1.00733267333538,260.329921379821,0.38,0.17,1.00733267333538,-0.0116600326669679,92.2529787018266,0.815789473684211,-88.0017061322862,241.674266235279
12,1,12,p01f20,Datafile processing p01f20 Block 1 event 12,Bri,Esy,Lft,Wide,Wide,71,0.33,396,43,37,33,12.8895250892848,53,71,Correct,Correct,1.01515405081807,260.378303746772,0.38,0.18,1.01515405081807,-0.0351919441747889,111.657700496255,0.815789473684211,-96.3933082982284,241.314515879595
13,1,13,p01f20,Datafile processing p01f20 Block 1 event 13,Bri,Hrd,Rgt,Narr,Narr,74,0.31,370,42,36,33,10.0200235628417,58,73,Incorrect,Incorrect,1.02508472251701,258.321552021579,0.4,0.15,1.02508472251701,0.00664764795683508,102.671270679146,0.5,-75.8273484193981,246.5309036172
14,1,14,p01f20,Datafile processing p01f20 Block 1 event 14,Bri,Hrd,Lft,Narr,Narr,73,0.39,450,47,42,41,13.703938540777,59,72,Correct,Correct,1.02806427135485,259.009327963364,0.31,0.13,1.02806427135485,-0.0667819122432523,100.169669528573,0.32258064516129,-104.204403161103,235.349040809354
15,1,15,p01f20,Datafile processing p01f20 Block 1 event 15,Bri,Hrd,Lft,Narr,Wide,71,0.34,400,44,38,37,11.7616407853715,54,70,Correct,Correct,1.02050176185916,244.691031282236,0.33,0.16,1.02050176185916,-0.0328024263303011,96.679576149583,0.333333333333333,-91.146526208795,225.823907662212
16,1,16,p01f20,Datafile processing p01f20 Block 1 event 16,Bri,Hrd,Lft,Wide,Wide,71,0.33,389,44,38,36,11.8956805451808,53,71,Correct,Correct,1.02347975776315,248.672096536569,0.35,0.18,1.02347975776315,-0.0340031130891132,103.663197920388,0.8,-94.1578991700429,228.931526303775
17,2,1,p01f20,Datafile processing p01f20 Block 2 event 1,Drk,Hrd,Rgt,Wide,Wide,90,0.4,439,53,45,41,11.7030258792189,65,95,Correct,Incorrect,1.1881783254597,274.392579572926,0.54,0.3,1.1881783254597,0.162057548566584,127.115405837245,0.87037037037037,109.638554598196,249.295015870136
18,2,2,p01f20,Datafile processing p01f20 Block 2 event 2,Drk,Esy,Rgt,Narr,Wide,83,0.46,535,54,46,45,13.3517419047802,66,83,Correct,Correct,1.03258215369933,283.525934674423,0.38,0.17,1.03258215369933,-0.0662795038892784,94.8178695587699,0.368421052631579,164.347956280444,227.07691091504
19,2,3,p01f20,Datafile processing p01f20 Block 2 event 3,Drk,Hrd,Rgt,Narr,Wide,74,0.34,409,45,39,35,10.8412317197358,57,74,Incorrect,Incorrect,1.01287097463941,249.997104955042,0.39,0.17,1.01287097463941,-0.0281205825249089,108.694281302108,0.666666666666667,-98.921401583187,228.273244433756
20,2,4,p01f20,Datafile processing p01f20 Block 2 event 4,Drk,Hrd,Lft,Wide,Wide,75,0.36,411,47,41,38,11.6699537876388,58,74,Correct,Correct,1.00946035348945,249.129608105502,0.36,0.16,1.00946035348945,-0.0322667162929051,106.267684357279,0.833333333333333,-103.236015645716,225.322808095685
21,2,5,p01f20,Datafile processing p01f20 Block 2 event 5,Drk,Esy,Lft,Narr,Narr,76,0.34,403,47,39,38,11.0039334754417,59,75,Correct,Correct,1.03612913554363,246.857170183159,0.37,0.16,1.03612913554363,-0.0432120328427794,91.7969037596301,0.189189189189189,-85.5422006357075,231.019062533797
22,2,6,p01f20,Datafile processing p01f20 Block 2 event 6,Drk,Hrd,Rgt,Narr,Narr,72,0.32,391,44,37,36,11.5578856784726,55,71,Incorrect,Incorrect,1.01871325519437,250.14448698687,0.35,0.16,1.01871325519437,-0.0224095357207173,98.3914343123024,0.285714285714286,-98.6840123340501,227.979618082185
23,2,7,p01f20,Datafile processing p01f20 Block 2 event 7,Drk,Esy,Rgt,Narr,Narr,71,0.37,414,45,38,37,15.6653343769366,57,71,Correct,Correct,1.01374789653036,290.892560358598,0.34,0.14,1.01374789653036,-0.0253017618977509,94.6624109362719,0.764705882352941,182.806081765159,223.869461407114
