eventnumber,filenumber,event,pname,eventlabel,Brightness,Difficulty,TSide,TFeature,DFeature,ymaxframe,RT,ButtonRT,abvelthreshold,Vmax5percent,VthresholdGC,Vmax,VmaxMT,stoptime,mainreach,initreach,pathlengthnorm,pathlengthmm,movetime,deceltime,normlength,AUC,maxaperture,maxaptime,stopX,stopY
1514,76,14,p33f28,Datafile processing p33f28 Block 4 event 14,Drk,Esy,Lft,Horz,Horz,66,0.35,341,42,34,31,18.5143347703341,50,65,Correct,Correct,1.03189605731787,286.458149907862,0.34,0.15,1.03189605731787,-0.00632587952573525,117.930195851292,0.733333333333333,-110.18902545985,264.085825235629
1515,76,15,p33f28,Datafile processing p33f28 Block 4 event 15,Drk,Bas,Lft,Horz,Miss,64,0.35,361,42,34,32,19.0273966133296,51,64,Correct,Incorrect,1.03929620178323,282.059175343122,0.32,0.13,1.03929620178323,0.0185188594991393,117.930195851292,0.733333333333333,-114.268074491578,257.135210307051
1516,76,16,p33f28,Datafile processing p33f28 Block 4 event 16,Drk,Hrd,Lft,Horz,Vert,70,0.32,365,39,34,32,15.1481320073931,54,70,Correct,Incorrect,1.27060528819071,270.39445722289,0.38,0.16,1.27060528819071,0.137902332052267,117.930195851292,0.733333333333333,-125.620613553408,236.921721195338
1517,76,17,p33f28,Datafile processing p33f28 Block 4 event 17,Drk,Bas,Rgt,Vert,Miss,59,0.28,356,34,30,29,17.5577091162236,46,58,Correct,Correct,1.05813723216886,266.415690012597,0.29,0.12,1.05813723216886,-0.093011575187823,117.930195851292,0.733333333333333,158.587075788478,214.350789398522
1518,76,18,p33f28,Datafile processing p33f28 Block 4 event 18,Drk,Hrd,Rgt,Horz,Vert,62,0.3,374,36,33,30,21.1012203120235,47,61,Correct,Correct,1.03119789347404,317.30096844998,0.31,0.14,1.03119789347404,-0.0650828619086213,119.400603542488,0.741935483870968,179.545130778637,260.040439158728
1519,76,19,p33f28,Datafile processing p33f28 Block 4 event 19,Drk,Hrd,Rgt,Vert,Horz,66,0.35,371,40,35,34,17.9846457507714,50,65,Correct,Correct,1.05083841652997,276.961831201543,0.31,0.15,1.05083841652997,-0.0766810204132156,122.867955272696,0.774193548387097,149.243236540836,232.929932199346
1520,76,20,p33f28,Datafile processing p33f28 Block 4 event 20,Drk,Hrd,Rgt,Vert,Vert,64,0.34,380,39,35,34,17.3576163244293,51,63,Correct,Correct,1.05316010216426,264.937523108596,0.29,0.12,1.05316010216426,-0.0849100082358797,117.446939801498,0.793103448275862,153.684344392652,215.933838714276
1521,77,1,p33f28,Datafile processing p33f28 Block 5 event 1,Bri,Bas,Rgt,Vert,Miss,57,0.28,333,32,28,27,18.2181431060103,44,56,Correct,Correct,1.05695245819762,264.871440404861,0.29,0.12,1.05695245819762,-0.0891289668455963,114.811525344851,0.827586206896552,151.201501560559,217.444568776025
1522,77,2,p33f28,Datafile processing p33f28 Block 5 event 2,Bri,Esy,Rgt,Vert,Vert,58,0.28,333,33,29,29,16.6492362347097,44,58,Correct,Correct,1.05873879215779,252.612151933503,0.29,0.14,1.05873879215779,-0.0868243061247458,116.526873007999,0.724137931034483,141.141438112982,209.811156431654
1523,77,3,p33f28,Datafile processing p33f28 Block 5 event 3,Bri,Esy,Rgt,Horz,Horz,65,0.33,365,39,36,36,20.3086810815606,50,64,Correct,Correct,1.02700840510858,307.145383729193,0.28,0.14,1.02700840510858,-0.0616646924384644,113.49442057838,0.75,177.69263353437,250.757063049104
