eventnumber,filenumber,event,pname,eventlabel,Brightness,Difficulty,TSide,TFeature,DFeature,ymaxframe,RT,ButtonRT,abvelthreshold,Vmax5percent,VthresholdGC,Vmax,VmaxMT,stoptime,mainreach,initreach,pathlengthnorm,pathlengthmm,movetime,deceltime,normlength,AUC,maxaperture,maxaptime,stopX,stopY
1,1,1,p08f21,Datafile processing p08f21 Block 1 event 1,Bri,Hrd,Lft,Vert,Vert,82,0.4,484,50,44,42,12.3750936396726,63,82,Correct,Correct,1.00656549872104,286.112001389078,0.4,0.19,1.00656549872104,0.00653016248445912,120.530879499109,0.8,-154.232123202815,238.753745851376
2,1,2,p08f21,Datafile processing p08f21 Block 1 event 2,Bri,Esy,Rgt,Horz,Horz,78,0.36,460,44,41,38,13.8541465615462,51,77,Correct,Correct,1.01492773075469,324.159550964197,0.39,0.26,1.01492773075469,-0.0444378784677419,108.293887220071,0.769230769230769,161.936477217255,276.254082235099
3,1,3,p08f21,Datafile processing p08f21 Block 1 event 3,Bri,Hrd,Lft,Horz,Vert,78,0.34,437,44,38,36,12.3754660249021,56,76,Correct,Incorrect,1.00636450284921,279.566495508161,0.4,0.2,1.00636450284921,0.00551290546777427,109.775181204478,0.775,-115.410131524554,251.206631292628
4,1,4,p08f21,Datafile processing p08f21 Block 1 event 4,Bri,Esy,Lft,Horz,Horz,72,0.32,425,41,36,33,12.6240917306307,55,71,Correct,Correct,1.01209544574445,290.628657416174,0.38,0.16,1.01209544574445,0.0225075189622576,110.683267441326,0.789473684210526,-113.914100373775,264.024993056697
5,1,5,p08f21,Datafile processing p08f21 Block 1 event 5,Bri,Esy,Lft,Vert,Horz,72,0.28,379,38,32,31,12.6379636435467,50,69,Correct,Correct,1.01389139668423,281.504270591293,0.38,0.19,1.01389139668423,0.0227743804406118,118.213832062384,0.684210526315789,-142.940843239943,243.072268862953
6,1,6,p08f21,Datafile processing p08f21 Block 1 event 6,Bri,Hrd,Rgt,Vert,Vert,70,0.29,381,39,33,32,14.3282996320702,53,69,Correct,Correct,1.05235773334624,280.156896659692,0.37,0.16,1.05235773334624,0.0606150599131845,116.952957223654,0.810810810810811,156.126079855509,230.726616820478
7,1,7,p08f21,Datafile processing p08f21 Block 1 event 7,Bri,Esy,Rgt,Horz,Vert,74,0.37,448,44,41,39,14.9658687617764,53,73,Correct,Correct,1.03326837291649,285.472580547283,0.34,0.2,1.03326837291649,-0.0661984371715476,111.500498097554,0.647058823529412,150.822256882447,238.058106938436
8,1,8,p08f21,Datafile processing p08f21 Block 1 event 8,Bri,Hrd,Lft,Vert,Horz,72,0.29,387,39,33,32,12.2988798182039,51,70,Correct,Incorrect,1.00880800478884,268.976110290622,0.38,0.19,1.00880800478884,0.0241059124253346,119.600458869033,0.657894736842105,-137.802800538198,229.954613780658
9,1,9,p08f21,Datafile processing p08f21 Block 1 event 9,Bri,Hrd,Rgt,Horz,Horz,82,0.47,550,55,52,50,15.4260424589491,61,81,Correct,Correct,1.01910318952379,296.244313045433,0.31,0.2,1.01910318952379,-0.0457066581619714,114.679017820178,0.774193548387097,172.379358985286,236.50691338534
10,1,10,p08f21,Datafile processing p08f21 Block 1 event 10,Bri,Esy,Rgt,Vert,Horz,73,0.37,455,46,42,39,14.3670559009882,57,72,Correct,Correct,1.01760050706028,270.436911978829,0.33,0.15,1.01760050706028,-0.0406978273892029,114.310357079331,0.787878787878788,147.097093647028,223.655677562907
