eventnumber,filenumber,event,pname,eventlabel,Brightness,Difficulty,TSide,TFeature,DFeature,ymaxframe,RT,ButtonRT,abvelthreshold,Vmax5percent,VthresholdGC,Vmax,VmaxMT,stoptime,mainreach,initreach,pathlengthnorm,pathlengthmm,movetime,deceltime,normlength,AUC,maxaperture,maxaptime,stopX,stopY
1491,94,3,p13f19,Datafile processing p13f19 Block 4 event 3,Drk,Hrd,Rgt,Horz,Vert,94,0.4,0,51,44,42,13.1247108816883,61,93,Correct,Correct,1.00279369904533,318.508614547914,0.51,0.32,1.00279369904533,-0.00247916651208594,88.7543550643545,0.784313725490196,201.246960766676,246.763745524583
1492,94,4,p13f19,Datafile processing p13f19 Block 4 event 4,Drk,Esy,Rgt,Vert,Vert,91,0.43,0,51,46,45,11.2072306024011,59,91,Correct,Correct,1.01949756022403,256.532844295923,0.46,0.32,1.01949756022403,-0.052664385057403,94.2619892259175,0.760869565217391,145.162278621046,208.313599757105
1493,94,5,p13f19,Datafile processing p13f19 Block 4 event 5,Drk,Hrd,Lft,Horz,Vert,90,0.34,0,49,39,37,9.96431242766617,63,90,Correct,Correct,1.00738218779128,269.315104018105,0.53,0.27,1.00738218779128,0.0248133077084987,91.0268895775421,0.849056603773585,-92.3598128469526,251.41798521491
1494,94,6,p13f19,Datafile processing p13f19 Block 4 event 6,Drk,Hrd,Rgt,Horz,Horz,91,0.46,0,54,50,48,13.8351285929518,64,89,Correct,Correct,1.00509353545653,302.466435716113,0.41,0.25,1.00509353545653,-0.0202136360092907,87.0097869243622,0.75609756097561,177.007886974271,241.397592602519
1495,94,7,p13f19,Datafile processing p13f19 Block 4 event 7,Drk,Hrd,Lft,Vert,Vert,139,0.76,0,87,81,79,12.1452188668882,98,143,Correct,Correct,1.06270731680582,281.272109877358,0.64,0.45,1.06270731680582,-0.0255897238039455,99.5756942765485,0.609375,-144.543763918938,239.82838458221
1496,94,8,p13f19,Datafile processing p13f19 Block 4 event 8,Drk,Esy,Lft,Horz,Vert,100,0.5,0,61,54,53,11.1875282155755,73,100,Correct,Correct,1.00172774582111,280.328834981966,0.47,0.27,1.00172774582111,-0.00279449874678184,90.0661894556921,0.74468085106383,-93.250480423231,262.30816622529
1497,94,9,p13f19,Datafile processing p13f19 Block 4 event 9,Drk,Esy,Rgt,Vert,Horz,88,0.4,0,48,43,43,11.5487162700885,57,87,Correct,Correct,1.03845156397148,263.374592597731,0.44,0.3,1.03845156397148,-0.0597716668065174,95.498788453447,0.818181818181818,146.967558189343,215.914633686273
1498,94,10,p13f19,Datafile processing p13f19 Block 4 event 10,Drk,Esy,Lft,Vert,Vert,115,0.32,0,44,37,36,9.63553137734002,55,113,Correct,Correct,1.02977358962078,273.957127437113,0.77,0.58,1.02977358962078,0.00309945393848795,99.0520145422439,0.545454545454545,-144.368338940474,228.618233910431
1499,94,11,p13f19,Datafile processing p13f19 Block 4 event 11,Drk,Hrd,Lft,Vert,Horz,140,0.48,0,60,53,52,11.1888624668755,71,139,Correct,Correct,1.02073890522664,304.232132687504,0.87,0.68,1.02073890522664,0.0310510612465572,99.3864562110267,0.471264367816092,-171.275766040573,248.829762238315
1500,94,12,p13f19,Datafile processing p13f19 Block 4 event 12,Drk,Esy,Rgt,Horz,Horz,95,0.39,0,48,43,42,12.4769699643638,59,91,Correct,Correct,1.00278832352886,313.274217046702,0.49,0.32,1.00278832352886,-0.0156852695141432,89.3426931938031,0.795918367346939,196.828037834448,240.792824041974
